"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:40:04,FALSE,NA,"915315539236573184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LawrenceLange1",795,TRUE,FALSE,NA,NA
"RT @HAWD_MAN: #Somaliland Presidential #election #Voting 2017 How Does It Work.

#djibouti #somalia #ethiopia... https://t.co/gZXTdqCGQu",FALSE,0,NA,2017-10-03 20:38:55,FALSE,NA,"915315248244101120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mitza_003",268,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:37:34,FALSE,NA,"915314910241939456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jspowell76",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:37:02,FALSE,NA,"915314775411843072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","klondikewv",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:36:30,FALSE,NA,"915314637712842752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","USA___Forever",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:36:27,FALSE,NA,"915314626396590086",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smaddiebird",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:31:39,FALSE,NA,"915313420274159617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trumpfan1995",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:30:43,FALSE,NA,"915313182671024128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alozrasT",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:28:51,FALSE,NA,"915312713072439296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fanihiman95376",795,TRUE,FALSE,NA,NA
"@siba_yusuf @renoomokri @MBuhari @BBC Watch if an #Igbo or #Yoruba wins next #election there would be a military co… https://t.co/irOM15y5yJ",FALSE,0,"siba_yusuf",2017-10-03 20:27:32,TRUE,"915299915445817345","915312382779494400","905444905941655557","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","biafrafactcheck",0,FALSE,FALSE,NA,NA
